Microseconds	Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Acceleration X	Acceleration Y	Acceleration Z	G Force	Angular Velocity X	Angular Velocity Y	Angular Velocity Z	Roll	Pitch	Heading	Velocity North	Velocity East	Velocity Down	Latitude	Longitude
600936	0.4115339	-0.26857474	-9.68552	-0.708297144	0.409580793	0.091021956	0.026268791	0.09280596	0.09782225	0.98975474	-0.7129700554	0.4101970282	0.0921691909	2.8476257727	2.8181609438	8.3258445664	11.918307	1.7983234	0.108920306	19.0381886403	-98.315795761
650328	0.3590998	-0.2414543	-9.807949	-0.171866855	0.622358565	0.119325843	-0.029424109	0.116592504	-0.024639208	1.0018461	-0.1765400892	0.6229745722	0.1204694347	2.8393324053	2.8483610047	8.3325764008	11.912392	1.7928554	0.10078365	19.0381938965	-98.315795036
700818	0.36648217	-0.35890377	-10.04005	0.978853307	0.167916672	0.121461064	-0.026199127	0.0027706495	-0.2571363	1.0260173	0.9741757656	0.1685485023	0.1226017723	2.888569873	2.8587574633	8.3397065112	11.914995	1.7963263	0.09288678	19.0381994385	-98.3157941558
750262	0.2397272	-0.31145003	-9.879879	1.043160904	-0.023692212	0.067978164	-0.15426232	0.059575874	-0.09746438	1.0089706	1.0384827555	-0.0230559866	0.0691218559	2.9396454204	2.857448799	8.3445216428	11.902143	1.810545	0.100954734	19.0382046854	-98.3157932236
800802	0.43705428	-0.39010826	-9.609478	0.317954356	-0.07764607	0.269535373	0.044847574	-0.014256064	0.17279544	0.98274493	0.3132739877	-0.0770046816	0.2706784806	2.9557194359	2.8533959166	8.3569355875	11.902824	1.7936445	0.112870954	19.0382101661	-98.315792508
850239	0.44051957	-0.3430775	-9.930279	0.434120069	-0.635747443	0.143760892	0.051159974	0.03618697	-0.14805007	1.0151453	0.429439834	-0.6351044949	0.1449018941	2.9770190013	2.821956404	8.361446548	11.909813	1.784193	0.09577294	19.0382154904	-98.3157917996
900785	0.3684217	-0.29623124	-9.371064	-0.615372723	-0.354162801	-0.023926705	-0.016461797	0.080995224	0.4114368	0.9576632	-0.6200529968	-0.3535142749	-0.0227857245	2.9452303902	2.8048053437	8.3595735583	11.899109	1.7860285	0.10308791	19.0382209013	-98.3157909672
950272	0.29504403	-0.48276663	-9.935194	-1.528170588	-1.070857776	-0.161873662	-0.08421653	-0.113747224	-0.15201774	1.0157357	-1.5328500263	-1.0702094396	-0.1607297191	2.8696101785	2.7528315504	8.3489391056	11.893667	1.7768936	0.09378626	19.0382261654	-98.3157901881
790	0.37929392	-0.524521	-9.632229	-1.232585348	-1.111701625	0.032990962	0.008193883	-0.16746318	0.15192202	0.9855911	-1.237265166	-1.1110536673	0.0341396476	2.8061395073	2.6963546893	8.3481826242	11.897039	1.769902	0.09217155	19.0382316698	-98.3157893353
50212	0.3108931	-0.38151893	-9.415651	-1.244211089	-0.446774057	-0.008584897	-0.052873503	-0.03487365	0.36935693	0.9623629	-1.2488904516	-0.446126783	-0.0074328348	2.744868157	2.6745417972	8.3459483934	11.911214	1.7594628	0.12769042	19.038237077	-98.3157886038
